ip,anonymityLevel,asn,country,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,isp,responseTime
"111.125.242.34","transparent","AS24554","IN","152","Five Network Solution India Limited","1111","http","5001","100","6","6","2025-06-04T07:42:59.265Z","NIXI","49"
"46.249.123.26","transparent","AS201150","IR","101","N/A","8080","http","211","72","13","18","2025-06-04T07:42:25.773Z","Didehban Net Company","3997"
"192.111.139.163","elite","AS46562","US","150","Total Server Solutions L.L.C.","19404","socks4","5001","100","74","74","2025-06-04T07:42:05.613Z","Performive LLC","4884"
"156.239.37.76","elite","AS400619","US","146","Fastmos Co Limited","3128","socks4","295","99","86","87","2025-06-04T07:41:57.934Z","Arosscloud Inc.","1814"
"72.37.217.3","elite","AS46562","US","159","I Am Responding","4145","socks4","5001","100","8","8","2025-06-04T07:41:54.782Z","PacketExchange","4905"
"182.204.179.34","elite","AS4134","CN","282","Chinanet LN","1080","http","5001","85","17","20","2025-06-04T07:41:49.012Z","Chinanet","47"
"107.181.168.145","elite","AS46562","US","158","Total Server Solutions L.L.C","4145","socks4","5001","92","569","617","2025-06-04T07:41:49.213Z","Performive LLC","4789"
"116.104.3.245","elite","AS7552","VN","337","Viettel Group","1080","socks4","5001","57","12","21","2025-06-04T07:41:41.193Z","Viettel Corporation","31"
"103.245.205.226","transparent","AS9441","BD","178","Nextonline Limited","6969","http","365","100","21","21","2025-06-04T07:41:37.567Z","Next Online Limited","4605"
"5.189.130.207","elite","AS51167","FR","7","Contabo GmbH","10036","socks4","5001","99","9804","9858","2025-06-04T07:41:16.667Z","Contabo GmbH","2211"
"41.139.11.69","elite","AS35091","GH","141","TeledataICTBlock YZone","32534","socks4","5001","86","214","248","2025-06-04T07:41:11.550Z","Teledata, Ghana","4701"
"185.105.102.179","elite","AS58224","IR","68","Telecommunication Company of Iran","80","http","551","100","19","19","2025-06-04T07:41:08.889Z","Iran Telecommunication Company PJS","55"
"45.86.6.137","transparent","AS43395","IR","126","N/A","8080","http","5001","86","18","21","2025-06-04T07:41:08.044Z","Ayandeh Gostar Bastak Co. P. J. S","137"
"154.85.58.149","elite","AS55967","SG","232","Beijing Baidu Netcom Science and Technology Co., Ltd.","80","http","886","100","21","21","2025-06-04T07:41:06.158Z","Beijing Baidu Netcom Science and Technology Co., Ltd.","3911"
"8.219.97.248","elite","AS45102","SG","240","Alibaba.com Singapore E-Commerce Private Limited","80","http","5002","100","20","20","2025-06-04T07:41:02.495Z","Alibaba Cloud (Singapore) Private Limited","1614"
"103.63.26.119","transparent","AS138089","ID","175","N/A","8080","http","705","100","20","20","2025-06-04T07:40:58.238Z","PT Global Media Data Prima","4583"
"64.92.125.145","elite","AS21777","US","124","Netfronts, Inc","59423","socks4","494","100","3069","3081","2025-06-04T07:40:47.274Z","Massive Networks","5081"
"67.201.59.70","elite","AS46562","US","163","Total server solutions","4145","socks4","5001","96","732","765","2025-06-04T07:40:46.435Z","PacketExchange","2102"
"216.158.246.90","transparent","AS33152","US","850","Kit Carson Electric Cooperative, Inc","51012","http","5002","90","18","20","2025-06-04T07:40:39.842Z","Kit Carson Electric Cooperative, Inc","2098"
"142.93.202.130","elite","AS14061","US","82","DigitalOcean, LLC","3128","http","179","100","6","6","2025-06-04T07:40:39.904Z","DigitalOcean, LLC","391"
"202.137.141.26","elite","AS9873","LA","224","Laotelecom","5678","socks4","1456","94","2973","3153","2025-06-04T07:40:23.789Z","Lao Telecommunication Public Company","2611"
"199.58.184.97","elite","AS46562","US","144","Performive LLC","4145","socks4","5001","100","8","8","2025-06-04T07:40:19.994Z","Performive LLC","57"
"36.50.112.145","transparent","AS63859","ID","179","N/A","8080","http","719","100","20","20","2025-06-04T07:40:12.152Z","MYREPUBLIC","3008"
"111.72.194.201","elite","AS4134","CN","274","Chinanet JX","2324","http","5001","84","16","19","2025-06-04T07:40:10.525Z","Chinanet","71"
"111.72.193.66","elite","AS4134","CN","256","Chinanet JX","2324","http","5001","53","10","19","2025-06-04T07:40:03.831Z","Chinanet","2406"
"192.111.139.165","elite","AS46562","US","141","Total Server Solutions L.L.C.","4145","socks4","5003","100","73","73","2025-06-04T07:39:29.954Z","Performive LLC","4316"
